codigo,descricao,tipo_operacao,gera_credito_ibs,gera_credito_cbs,primeira_etapa_cadeia
2411,"Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,true,true,false
2414,"Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária",ENTRADA,false,false,false
2415,"Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,false,false,false
2450,"SISTEMAS DE INTEGRAÇÃO E PARCERIA RURAL",ENTRADA,true,true,false
2451,"Entrada de animal - Sistema de Integração e Parceria Rural",ENTRADA,true,true,false
2452,"Entrada de insumo - Sistema de Integração e Parceria Rural",ENTRADA,true,true,false
2453,"Retorno do animal ou da produção - Sistema de Integração e Parceria Rural.",ENTRADA,false,false,false
2454,"Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural.",ENTRADA,false,false,false
2455,"Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural",ENTRADA,false,false,false
2456,"Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural",ENTRADA,true,true,false
2501,"Entrada de mercadoria recebida com fim específico de exportação",ENTRADA,true,true,false
2503,"Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento",ENTRADA,true,true,false
2504,"Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros",ENTRADA,true,true,false
2505,"Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento",ENTRADA,true,true,false
2506,"Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação",ENTRADA,true,true,false
2550,"OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO",ENTRADA,true,true,false
2551,"Compra de bem para o ativo imobilizado",ENTRADA,true,true,false
2552,"Transferência de bem do ativo imobilizado",ENTRADA,true,true,false
2553,"Devolução de venda de bem do ativo imobilizado",ENTRADA,true,true,false
2554,"Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento",ENTRADA,false,false,false
2555,"Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento",ENTRADA,true,true,false
2556,"Compra de material para uso ou consumo",ENTRADA,true,true,false
2557,"Transferência de material para uso ou consumo",ENTRADA,true,true,false
2603,"Ressarcimento de ICMS retido por substituição tributária",ENTRADA,true,true,false
2650,"ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO E LUBRIFICANTES",ENTRADA,true,true,false
2651,"Compra de combustível ou lubrificante para industrialização subseqüente",ENTRADA,true,true,false
2652,"Compra de combustível ou lubrificante para comercialização",ENTRADA,true,true,false
2653,"Compra de combustível ou lubrificante por consumidor ou usuário final",ENTRADA,true,true,false
2657,"Retorno de remessa de combustível ou lubrificante para venda fora do estabelecimento.",ENTRADA,false,false,false
2658,"Transferência de combustível e lubrificante para industrialização",ENTRADA,true,true,false
2660,"Devolução de venda de combustível ou lubrificante destinado à industrialização subseqüente",ENTRADA,true,true,false
2661,"Devolução de venda de combustível ou lubrificante destinado à comercialização",ENTRADA,true,true,false
2662,"Devolução de venda de combustível ou lubrificante destinado a consumidor ou usuário final",ENTRADA,true,true,false
2663,"Entrada de combustível ou lubrificante para armazenagem",ENTRADA,true,true,false
2664,"Retorno de combustível ou lubrificante remetido para armazenagem",ENTRADA,false,false,false
2901,"Entrada para industrialização por encomenda",ENTRADA,true,true,false
2902,"Retorno de mercadoria remetida para industrialização por encomenda",ENTRADA,false,false,false
2903,"Entrada de mercadoria remetida para industrialização e não aplicada no referido processo",ENTRADA,true,true,false
2904,"Retorno de remessa para venda fora do estabelecimento",ENTRADA,false,false,false
2905,"Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral",ENTRADA,true,true,false
2906,"Retorno de mercadoria remetida para depósito fechado ou armazém geral",ENTRADA,false,false,false
2907,"Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral",ENTRADA,false,false,false
2908,"Entrada de bem por conta de contrato de comodato ou locação",ENTRADA,false,false,false
2909,"Retorno de bem remetido por conta de contrato de comodato ou locação",ENTRADA,false,false,false
2910,"Entrada de bonificação, doação ou brinde",ENTRADA,false,false,false
2911,"Entrada de amostra grátis",ENTRADA,false,false,false
2912,"Entrada de mercadoria ou bem recebido para demonstração",ENTRADA,false,false,false
2913,"Retorno de mercadoria ou bem remetido para demonstração",ENTRADA,false,false,false
2914,"Retorno de mercadoria ou bem remetido para exposição ou feira",ENTRADA,false,false,false
2915,"Entrada de mercadoria ou bem recebido para conserto ou reparo",ENTRADA,true,true,false
2916,"Retorno de mercadoria ou bem remetido para conserto ou reparo",ENTRADA,false,false,false
2917,"Entrada de mercadoria recebida em consignação mercantil ou industrial",ENTRADA,true,true,false
2918,"Devolução de mercadoria remetida em consignação mercantil ou industrial",ENTRADA,true,true,false
2919,"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial",ENTRADA,true,true,false
2920,"Entrada de vasilhame ou sacaria",ENTRADA,true,true,false
2921,"Retorno de vasilhame ou sacaria",ENTRADA,false,false,false
2922,"Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro",ENTRADA,true,true,false
2923,"Entrada de mercadoria recebida do vendedor remetente, em venda à ordem",ENTRADA,true,true,false
2924,"Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente",ENTRADA,true,true,false
2925,"Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente",ENTRADA,false,false,false
2931,"Lançamento efetuado pelo tomador do serviço de transporte quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço.",ENTRADA,true,true,false
2932,"Aquisição de serviço de transporte iniciado em unidade da Federação diversa daquela onde inscrito o prestador.",ENTRADA,true,true,false
2933,"Aquisição de serviço tributado pelo ISSQN",ENTRADA,true,true,false
2934,"Entrada simbólica de mercadoria recebida para depósito fechado ou armazém geral",ENTRADA,true,true,false
2949,"Outra entrada de mercadoria ou prestação de serviço não especificado",ENTRADA,true,true,false
3101,"Compra para industrialização ou produção rural",ENTRADA,true,true,true
3102,"Compra para comercialização",ENTRADA,true,true,true
3126,"Compra para utilização na prestação de serviço sujeita ao ICMS",ENTRADA,true,true,true
3127,"Compra para industrialização sob o regime de “drawback”",ENTRADA,true,true,true
3128,"Compra para utilização na prestação de serviço sujeita ao ISSQN",ENTRADA,true,true,true
3129,"Compra para industrialização sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).",ENTRADA,true,true,true
3201,"Devolução de venda de produção do estabelecimento",ENTRADA,true,true,true
3202,"Devolução de venda de mercadoria adquirida ou recebida de terceiros",ENTRADA,true,true,true
3205,"Anulação de valor relativo à prestação de serviço de comunicação",ENTRADA,true,true,true
3206,"Anulação de valor relativo à prestação de serviço de transporte",ENTRADA,true,true,true
3207,"Anulação de valor relativo à venda de energia elétrica",ENTRADA,true,true,true
3211,"Devolução de venda de produção do estabelecimento sob o regime de “drawback”",ENTRADA,true,true,true
3212,"Devolução de venda no mercado externo de mercadoria industrializada sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).",ENTRADA,true,true,true
